method_a,method_b,median_difference,ci_low,ci_high,fraction_difference_gt_0
geneformer_static_pca32,direct_melanoma_delta,0.07066161032731355,0.005390989224206748,0.140006697947955,0.981
geneformer_static_pca32,geneformer_random_pca32,0.123140711326557,0.004913933640329834,0.1847551796986822,0.981
geneformer_static_pca32,manual_features,0.042959830002931895,-0.02711965908779617,0.10897502043842842,0.889
manual_plus_geneformer_pca32,manual_features,0.03946025107397386,-0.021222428750743875,0.09629330475867787,0.908
scgpt_static_pca32,scgpt_random_pca32,0.058281519901191535,-0.050427818479826636,0.12377124625340039,0.875
scgpt_static_pca32,direct_melanoma_delta,0.010544424420910827,-0.04365637892374858,0.07104307395691908,0.642
