gene_symbol,melanoma_post_delta,nsclc_post_delta,pred_direct_melanoma_delta,pred_manual_features,pred_geneformer_static_pca32,pred_scgpt_static_pca32,pred_geneformer_random_pca32,pred_scgpt_random_pca32,pred_manual_plus_geneformer_pca32,pred_manual_plus_scgpt_pca32,mean_tpm,fraction_positive_g120,baseline_responder_vs_nonresponder_log2_delta,post_responder_vs_nonresponder_log2_delta,n_cells_g120,n_patient_states,n_baseline_responder_states,n_baseline_nonresponder_states,mean_raw_count_per_cell,fraction_positive_g115,post_vs_naive_sample_logcpm_delta,cell_type_specificity_max_fraction,dominant_cell_type,n_cells_g115,n_samples,n_post_samples,n_naive_samples,nsclc_post_responder_vs_nonresponder_log2cpm_delta,nsclc_post_mean_log2cpm,nsclc_post_lesion_fraction_positive,nsclc_n_responder_lesions,nsclc_n_nonresponder_lesions,response_direction_concordant,response_transfer_score
FCER1G,-0.713456662049905,-1.0521577024501108,-0.713456662049905,-0.06498633,-0.20413569,-0.42202622,-0.08470638,-0.08505881,-0.16873346,-0.39357927,1.364247131608159,0.1336320667853416,-0.7689425476633532,-0.713456662049905,16291,48,9,10,70.46562760924019,0.1217645421653214,0.0427257351562575,0.7487623174806092,Macrophage,7186,33,17,16,-1.0521577024501108,5.174304585331158,1.0,8,5,True,0.8664115202028151
S100A8,-0.541538317981838,-1.3859765540220366,-0.541538317981838,-0.05020356,-0.19075146,-0.1815541,-0.08123958,-0.07978598,-0.14997676,-0.162994,0.4825382115000717,0.0549996930820698,-0.3665395867461933,-0.541538317981838,16291,48,9,10,9.580434177567492,0.0449485109935986,0.0312373173976792,0.5417219402431674,Macrophage,7186,33,17,16,-1.3859765540220366,2.331578159252129,1.0,8,5,True,0.8663483201503641
LTBR,-0.4396204664643204,-1.663914831495684,-0.4396204664643204,-0.11063478,-0.11268847,-0.21724115,-0.08110225,-0.08813555,-0.0937991,-0.19724432,0.4275065988410164,0.0644527653305506,-0.4073205445649808,-0.4396204664643204,16291,48,9,10,35.10311717227943,0.2735875313108822,-0.9635361399635816,0.3477440760247647,CAF,7186,33,17,16,-1.663914831495684,1.4941728086113426,1.0,8,5,True,0.8552724796104653
CXCL3,-0.4479388795406037,-1.6157950604338247,-0.4479388795406037,-0.057983693,-0.1933551,-0.17443341,-0.081782445,-0.07829593,-0.1658589,-0.15294796,0.2752642555867877,0.0335154379718863,-0.4195902245608994,-0.4479388795406037,16291,48,9,10,6.264542165321458,0.0233787920957417,-0.5483002931391043,0.6788215731450803,Macrophage,7186,33,17,16,-1.6157950604338247,1.779962003070818,1.0,8,5,True,0.8507510969360953
G0S2,-0.5447100869935037,-1.2930595768165438,-0.5447100869935037,-0.0406,-0.1943784,-0.15879959,-0.085752904,-0.09336881,-0.1700159,-0.14188004,0.5483935912825786,0.0604014486526302,-0.5615696104159094,-0.5447100869935037,16291,48,9,10,13.521430559421097,0.0489841358196493,0.1761207559358117,0.7036782504824839,Macrophage,7186,33,17,16,-1.2930595768165438,2.7454982888338026,1.0,8,5,True,0.8392512106488275
MS4A1,0.6726422026505895,0.9725795459437205,0.6726422026505895,-0.07999775,-0.1728695,-0.05412528,-0.08177142,-0.07917025,-0.11760759,-0.02042307,0.9819734823520097,0.1084647965134123,1.0521344190657644,0.6726422026505895,16291,48,9,10,113.0393821319232,0.1575285276927358,-0.820163517906904,0.8893887730293933,B.cell,7186,33,17,16,0.9725795459437205,3.302983198426679,1.0,8,5,True,0.8088251034905473
MT1G,-0.5094402746100858,-1.2254120318407091,-0.5094402746100858,-0.05996691,-0.09541472,-0.09918982,-0.08764762,-0.07886827,-0.08841579,-0.088091984,0.2456282606792818,0.028850285433675,-0.0738536245697201,-0.5094402746100858,16291,48,9,10,1.9467019204007796,0.0430002783189535,-0.497074393076607,0.5978240230768661,Macrophage,7186,33,17,16,-1.2254120318407091,3.422241788086824,1.0,8,5,True,0.790110272057916
CLEC7A,-0.5650539427218376,-1.096177689407781,-0.5650539427218376,-0.111362,-0.16572163,-0.2648716,-0.07984907,-0.07798671,-0.16961148,-0.26148507,0.6994444787516924,0.0996255601252225,-0.4467272948173427,-0.5650539427218376,16291,48,9,10,16.946423601447258,0.7584191483440023,0.0864449022349753,0.7393023574321728,Macrophage,7186,33,17,16,-1.096177689407781,2.3130414941354025,1.0,8,5,True,0.7870193932322003
BCAT1,-0.449288934915427,-1.3133801781005827,-0.449288934915427,-0.08634645,-0.15723228,-0.14935148,-0.08977582,-0.085803755,-0.14839165,-0.13967395,0.5340991965970401,0.0918298446995273,-0.4692810058140044,-0.449288934915427,16291,48,9,10,14.240050097411634,0.2374060673531867,-0.1734888479513761,0.4383238712696606,Macrophage,7186,33,17,16,-1.3133801781005827,2.7712662611700454,1.0,8,5,True,0.7681713229207692
TK1,-0.5180444975944558,-1.1329078063590718,-0.5180444975944558,-0.0845215,-0.21908781,-0.28425193,-0.08293275,-0.082299106,-0.20123485,-0.27483764,0.5485525752590562,0.0712049597937511,-0.4831172954033018,-0.5180444975944558,16291,48,9,10,29.2268299471194,0.1107709435012524,-0.4006432603173566,0.2293913874399087,Mal,7186,33,17,16,-1.1329078063590718,3.7330315614006255,1.0,8,5,True,0.7660918060951458
PTGR1,-0.2745126145090509,-2.1322831899894688,-0.2745126145090509,-0.07646737,-0.12329936,-0.14060834,-0.07990763,-0.091930516,-0.10629232,-0.13072559,0.1449192804340704,0.028850285433675,-0.080032300326069,-0.2745126145090509,16291,48,9,10,12.208878374617312,0.1650431394377957,-0.5405986419284439,0.4184863393924404,CAF,7186,33,17,16,-2.1322831899894688,1.7189801497401374,0.9230769230769231,8,5,True,0.7650742665635203
MKI67,-0.3544696197988718,-1.6509520492750527,-0.3544696197988718,-0.05315992,-0.19122107,-0.16334084,-0.08386232,-0.07961946,-0.17113212,-0.13911122,0.4603965386462931,0.0816401694186974,-0.4401571341518073,-0.3544696197988718,16291,48,9,10,18.01057612023379,0.0979682716392986,0.5085579980752879,0.2746327340137924,Endo.,7186,33,17,16,-1.6509520492750527,5.1714041006334615,1.0,8,5,True,0.7649917288524734
TYMS,-0.5062750383409811,-1.1530527709394782,-0.5062750383409811,-0.07132752,-0.1995982,-0.27721128,-0.0880366,-0.07809886,-0.18661714,-0.2642831,0.6851470133988401,0.0902338714627708,-0.4891056715739296,-0.5062750383409811,16291,48,9,10,29.336626774283328,0.1462566100751461,0.0486596905732499,0.3819906179879455,Mal,7186,33,17,16,-1.1530527709394782,5.120243883616113,1.0,8,5,True,0.7640430850525112
TYROBP,-0.6282065363786747,-0.8971277601719763,-0.6282065363786747,-0.06764291,-0.19785169,-0.346326,-0.09033042,-0.0834385,-0.15577057,-0.3193433,1.4612988757718357,0.1427782211036768,-0.7121922076280839,-0.6282065363786747,16291,48,9,10,66.53145004174785,0.1104926245477317,-0.028843697307872,0.8095555719108102,Macrophage,7186,33,17,16,-0.8971277601719763,6.642623615019196,1.0,8,5,True,0.7507206690286312
