method,median,minimum,maximum
direct_melanoma_delta,0.05147853039394516,0.023093060809000202,0.09919569747075563
geneformer_random_pca32,0.0019179087146294883,-0.006592115509960953,0.004181565200399543
geneformer_static_pca32,0.14399106181611324,0.11696614581606815,0.16369509558306783
manual_features,0.09431017736203864,0.04991368761033854,0.11618873459066965
manual_plus_geneformer_pca32,0.13754515329216038,0.11051810075800955,0.16195830851852178
manual_plus_scgpt_pca32,0.06134344678796363,0.03345158512148416,0.08782736445167558
scgpt_random_pca32,0.005254768968473316,0.0025793913830033308,0.01005639422531138
scgpt_static_pca32,0.06708328597190893,0.04263780385235689,0.0951652185479946
